VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-08-14 22:27:44,2019-08-14 22:30:59,N,1,112,112,2,0.78,4.5,0.5,0.5,0.0,0.0,0.0,0.3,5.8,2,,0.0
2,2019-08-14 22:52:56,2019-08-14 23:14:44,N,1,112,102,1,4.73,18.0,0.5,0.5,0.0,0.0,0.0,0.3,19.3,2,,0.0
2,2019-08-14 23:37:02,2019-08-14 23:42:17,N,1,255,112,2,1.07,6.0,0.5,0.5,1.46,0.0,0.0,0.3,8.76,1,,0.0
2,2019-08-15 00:21:25,2019-08-15 00:36:51,N,1,255,225,2,2.12,11.5,0.5,0.5,2.56,0.0,0.0,0.3,15.36,1,,0.0
2,2019-08-15 00:47:14,2019-08-15 01:01:19,N,1,80,231,2,3.75,14.0,0.5,0.5,1.0,0.0,0.0,0.3,19.05,1,,2.75
2,2019-08-15 16:37:57,2019-08-15 16:47:46,N,1,75,24,2,1.73,8.5,1.0,0.5,1.5,0.0,0.0,0.3,11.8,1,,0.0
2,2019-08-15 16:51:22,2019-08-15 17:00:10,N,1,24,41,2,1.09,7.5,1.0,0.5,0.0,0.0,0.0,0.3,9.3,2,,0.0
2,2019-08-15 17:10:31,2019-08-15 17:34:59,N,1,43,186,1,5.93,22.0,1.0,0.5,5.31,0.0,0.0,0.3,31.86,1,,2.75
2,2019-08-15 19:17:09,2019-08-15 19:25:31,N,1,43,263,2,1.17,7.0,1.0,0.5,2.31,0.0,0.0,0.3,13.86,1,,2.75
2,2019-08-15 20:58:32,2019-08-15 21:05:54,N,1,255,80,2,1.17,7.0,0.5,0.5,1.66,0.0,0.0,0.3,9.96,1,,0.0
2,2019-08-15 21:19:33,2019-08-15 21:22:27,N,1,255,255,2,0.38,4.0,0.5,0.5,0.0,0.0,0.0,0.3,5.3,2,,0.0
2,2019-08-15 21:26:00,2019-08-15 21:48:24,N,1,112,227,2,9.52,28.5,0.5,0.5,0.0,0.0,0.0,0.3,29.8,2,,0.0
2,2019-08-15 22:27:37,2019-08-15 22:43:09,N,1,255,79,2,3.69,14.5,0.5,0.5,3.71,0.0,0.0,0.3,22.26,1,,2.75
2,2019-08-15 23:35:27,2019-08-15 23:53:59,N,1,256,226,2,3.8,15.5,0.5,0.5,0.0,0.0,0.0,0.3,16.8,2,,0.0
2,2019-08-16 00:08:53,2019-08-16 00:24:08,N,1,112,225,2,3.28,13.5,0.5,0.5,0.0,0.0,0.0,0.3,14.8,2,,0.0
2,2019-08-16 01:31:42,2019-08-16 01:48:04,N,1,255,189,2,3.83,14.5,0.5,0.5,3.16,0.0,0.0,0.3,18.96,1,,0.0
1,2019-08-16 14:21:35,2019-08-16 14:29:36,N,1,49,65,1,1.3,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,5,1.0,0.0
2,2019-08-16 16:31:34,2019-08-16 16:42:02,N,1,43,237,2,1.75,9.0,1.0,0.5,2.71,0.0,0.0,0.3,16.26,1,,2.75
2,2019-08-16 16:58:42,2019-08-16 17:05:36,N,1,75,41,2,1.56,7.0,1.0,0.5,1.76,0.0,0.0,0.3,10.56,1,,0.0
2,2019-08-16 17:34:04,2019-08-16 17:42:56,N,1,75,151,2,1.49,8.0,1.0,0.5,1.96,0.0,0.0,0.3,11.76,1,,0.0
2,2019-08-16 19:39:33,2019-08-16 19:52:19,N,1,112,37,2,1.82,10.0,1.0,0.5,2.36,0.0,0.0,0.3,14.16,1,,0.0
2,2019-08-16 20:47:05,2019-08-16 20:54:46,N,1,255,80,3,1.03,6.5,0.5,0.5,1.56,0.0,0.0,0.3,9.36,1,,0.0
2,2019-08-16 21:05:12,2019-08-16 21:15:43,N,1,255,17,1,2.24,9.5,0.5,0.5,2.16,0.0,0.0,0.3,12.96,1,,0.0
2,2019-08-17 19:25:27,2019-08-17 19:41:13,N,1,112,7,2,3.03,13.5,0.0,0.5,0.0,0.0,0.0,0.3,14.3,2,,0.0
2,2019-08-17 20:08:21,2019-08-17 20:14:17,N,1,112,255,2,1.05,6.0,0.5,0.5,1.46,0.0,0.0,0.3,8.76,1,,0.0
2,2019-08-17 20:38:35,2019-08-17 20:47:15,N,1,112,256,2,1.42,7.5,0.5,0.5,0.0,0.0,0.0,0.3,8.8,2,,0.0
2,2019-08-17 20:58:50,2019-08-17 21:02:35,N,1,112,112,2,0.68,4.5,0.5,0.5,0.0,0.0,0.0,0.3,5.8,2,,0.0
2,2019-08-17 21:18:48,2019-08-17 21:28:27,N,1,255,80,2,1.63,8.5,0.5,0.5,1.0,0.0,0.0,0.3,10.8,1,,0.0
2,2019-08-17 21:41:18,2019-08-17 22:09:22,N,1,255,143,2,6.32,23.5,0.5,0.5,5.51,0.0,0.0,0.3,33.06,1,,2.75
